"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1545","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277163","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","Shree Guru Nanak Cement Store","Payment Success","27300"
"1546","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277163","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","Shree Guru Nanak Cement Store","Payment Success","28800"
"1547","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288248","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","48300"
"1548","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288248","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","43170"
"1549","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288248","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49530"
"1550","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288248","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49815"
"1551","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49140"
"1552","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49140"
"1553","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49470"
"1554","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","48450"
"1555","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49800"
"1556","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49530"
"1557","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","30000"
"1558","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","36000"
"1559","Tamil Nadu","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP166/2025-2026/259902","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","14-May-2026","Royal Construction","Payment Success","499673"
"1560","Uttarakhand","Construction of community centers and community halls","WS/MP204/2026-2027/275906","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","31-Jul-2026","Khajan Singh","Payment Success","398245"
"1561","Punjab","Renovation of ponds and lakes","WS/MP843/2025-2026/219625","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","14-May-2026","BALRAJ KUMAR MAINI AND CO","Payment Success","13500"
"1562","Punjab","Renovation of ponds and lakes","WS/MP843/2025-2026/219625","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","14-May-2026","GLOBAL SURVEY ENGINEERS","Payment Success","17700"
"1563","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277165","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","New Luxmi Iron and Cement Store","Payment Success","48100"
"1564","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277165","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","New Luxmi Iron and Cement Store","Payment Success","20760"
"1565","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277165","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","New Luxmi Iron and Cement Store","Payment Success","35340"
"1566","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/279289","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Jul-2026","Gursharan Singh","Payment Success","90000"
"1567","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/279289","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Jul-2026","Gursharan Singh","Payment Success","24500"
"1568","Punjab","Development of public parks","WS/MP235/2026-2027/290364","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","05-Aug-2026","Gursharan Singh","Payment Success","174500"
"1569","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277164","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-May-2026","Gursharan Singh","Payment Success","7000"
"1570","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277164","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-May-2026","Gursharan Singh","Payment Success","70000"
"1571","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277164","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-May-2026","Gursharan Singh","Payment Success","50000"
"1572","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/279289","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jun-2026","Gursharan Singh","Payment Success","12250"
"1573","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/279289","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jun-2026","Gursharan Singh","Payment Success","50400"
"1574","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/279289","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jun-2026","Gursharan Singh","Payment Success","70000"
"1575","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/202218","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","14-May-2026","Jins George","Payment Success","437234"
"1576","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/158061","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","08-Jul-2026","Joshy Thomas","Payment Success","399467"
"1577","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277165","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","RK bricks Industry","Payment Success","47040"
"1578","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277165","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","RK bricks Industry","Payment Success","47040"
"1579","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277165","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","RK bricks Industry","Payment Success","5250"
"1580","Maharashtra","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP112/2026-2027/209299","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","19-May-2026","Kaizen Wheels","Payment Success","105298"
"1581","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/273484","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","KK Steel Tube","Payment Success","150014"
"1582","Kerala","Construction of buildings for multi-gym","WS/MP18405/2025-2026/168802","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","07-Jul-2026","PAULSON JOSE","Payment Success","217513"
"1583","Punjab","Construction of culverts and bridges","WS/MP235/2026-2027/277172","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-May-2026","Baljinder Singh","Payment Success","53900"
"1584","Puducherry","Purchase of IT systems, including hardware and software for educational purposes","WS/MP139/2025-2026/190731","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","14-May-2026","R MURUGAN","Payment Success","706247"
"1585","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP138/2025-2026/204685","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-May-2026","SATYABAN BARIK","Payment Success","200000"
"1586","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2026-2027/177181","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","18-May-2026","BASHEER N","Payment Success","647657"
"1587","Uttarakhand","Construction of community centers and community halls","WS/MP850/2024-2025/147843","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","16-May-2026","bhuvan chandra","Payment Success","478800"
"1588","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/277158","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","14-May-2026","Surjeet Kaur","Payment Success","226648"
"1589","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2026-2027/299123","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Surjeet Kaur","Payment Success","111550"
"1590","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","MENKA DEVI","Payment Success","6399"
"1591","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","MENKA DEVI","Payment Success","3318"
"1592","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","MAYAMATI","Payment Success","3081"
"1593","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","MAYAMATI","Payment Success","6399"
"1594","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277164","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-May-2026","Dashmesh Bricks Co","Payment Success","5247"
"1595","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277164","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-May-2026","Dashmesh Bricks Co","Payment Success","47040"
"1596","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277164","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-May-2026","Dashmesh Bricks Co","Payment Success","47040"
"1597","Punjab","Construction of public irrigation facilities","WS/MP235/2025-2026/274852","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-May-2026","SUNIL KUMAR","Payment Success","495000"
"1598","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/274851","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","26-Jun-2026","SUNIL KUMAR","Payment Success","495000"
"1599","Punjab","Construction of public irrigation facilities","WS/MP235/2025-2026/274853","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-May-2026","SUNIL KUMAR","Payment Success","490000"
"1600","Kerala","Construction of boundary walls of existing public and community buildings","WS/MP102/2025-2026/223699","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","14-May-2026","MOHAMMED FAISAL","Payment Success","820454"
"1601","West Bengal","Construction of rooms and halls in school and colleges","WS/MP18383/2025-2026/192075","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","19-May-2026","DAS CONSTRUCTION","Payment Success","1197192"
"1602","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/224031","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","12-Jul-2026","KHAND VIKAS ADHIKARI SANITATION","Payment Success","70636"
"1603","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/247310","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","12-Jul-2026","KHAND VIKAS ADHIKARI SANITATION","Payment Success","70636"
"1604","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/224036","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","11-Jul-2026","KHAND VIKAS ADHIKARI SANITATION","Payment Success","33010"
"1605","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/224032","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","20-May-2026","KHAND VIKAS ADHIKARI SANITATION","Payment Success","43581"
"1606","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/224033","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","15-May-2026","KHAND VIKAS ADHIKARI SANITATION","Payment Success","28730"
"1607","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/224035","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","18-Jun-2026","KHAND VIKAS ADHIKARI SANITATION","Payment Success","35613"
"1608","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2025-2026/255050","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","20-May-2026","Satvir Singh So Mohan Singh","Payment Success","5000"
"1609","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2025-2026/255050","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","19-Jun-2026","Satvir Singh So Mohan Singh","Payment Success","14000"
