"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"5923","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249210","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","370000"
"5924","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249210","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","123000"
"5925","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249211","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","370000"
"5926","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249211","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","123000"
"5927","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249239","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","370000"
"5928","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249239","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","08-Jul-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","123000"
"5929","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249240","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","370000"
"5930","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249240","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","08-Jul-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","123000"
"5931","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249242","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","370000"
"5932","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249242","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-Jul-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","123000"
